frame,id,x,y,w,h,score,class,visibility,unused
1.0,1.0,1689.0,385.0,146.62,332.71,67.567,-1.0,-1.0,-1.0
1.0,2.0,1303.0,503.0,61.514,139.59,29.439,-1.0,-1.0,-1.0
1.0,3.0,1258.0,569.0,40.123,91.049,19.601,-1.0,-1.0,-1.0
1.0,4.0,31.0,525.0,113.37,257.27,17.013,-1.0,-1.0,-1.0
2.0,1.0,1689.0,385.0,146.62,332.71,66.725,-1.0,-1.0,-1.0
2.0,2.0,1312.0,503.0,61.514,139.59,36.614,-1.0,-1.0,-1.0
2.0,4.0,1744.0,476.0,123.42,280.06,16.976,-1.0,-1.0,-1.0
2.0,3.0,1254.0,537.0,52.0,118.0,15.979,-1.0,-1.0,-1.0
3.0,4.0,1742.0,513.0,94.66,214.81,64.803,-1.0,-1.0,-1.0
3.0,1.0,1664.0,418.0,135.42,307.29,31.198,-1.0,-1.0,-1.0
3.0,2.0,1312.0,503.0,61.514,139.59,30.007,-1.0,-1.0,-1.0
4.0,1.0,1668.0,371.0,159.84,362.7,53.87,-1.0,-1.0,-1.0
4.0,4.0,1759.0,473.0,113.37,257.27,34.214,-1.0,-1.0,-1.0
4.0,5.0,1852.0,505.0,30.903,70.127,24.793,-1.0,-1.0,-1.0
4.0,2.0,1305.0,500.0,67.474,153.11,21.299,-1.0,-1.0,-1.0
4.0,6.0,107.0,494.0,103.17,234.13,15.325,-1.0,-1.0,-1.0
5.0,1.0,1692.0,371.0,159.84,362.7,52.074,-1.0,-1.0,-1.0
5.0,5.0,1848.0,505.0,30.903,70.127,36.829,-1.0,-1.0,-1.0
5.0,2.0,1318.0,537.0,52.0,118.0,25.687,-1.0,-1.0,-1.0
6.0,1.0,1666.0,385.0,146.62,332.71,52.587,-1.0,-1.0,-1.0
6.0,5.0,1849.0,510.0,28.302,64.224,35.023,-1.0,-1.0,-1.0
6.0,6.0,1333.0,498.0,56.686,128.63,30.194,-1.0,-1.0,-1.0
6.0,2.0,1318.0,537.0,52.0,118.0,30.132,-1.0,-1.0,-1.0
6.0,7.0,1741.0,473.0,113.37,257.27,29.672,-1.0,-1.0,-1.0
6.0,8.0,107.0,494.0,103.17,234.13,20.212,-1.0,-1.0,-1.0
7.0,1.0,1668.0,371.0,159.84,362.7,49.716,-1.0,-1.0,-1.0
7.0,5.0,1849.0,510.0,28.302,64.224,35.359,-1.0,-1.0,-1.0
